total_steps,win_rate,seed,experiment
20000,0.06,seed_1,SAC_Hard_64
40000,0.0,seed_1,SAC_Hard_64
60000,0.08,seed_1,SAC_Hard_64
80000,0.1,seed_1,SAC_Hard_64
100000,0.0,seed_1,SAC_Hard_64
120000,0.0,seed_1,SAC_Hard_64
140000,0.04,seed_1,SAC_Hard_64
160000,0.0,seed_1,SAC_Hard_64
180000,0.02,seed_1,SAC_Hard_64
200000,0.02,seed_1,SAC_Hard_64
220000,0.04,seed_1,SAC_Hard_64
240000,0.0,seed_1,SAC_Hard_64
260000,0.02,seed_1,SAC_Hard_64
280000,0.02,seed_1,SAC_Hard_64
300000,0.04,seed_1,SAC_Hard_64
320000,0.04,seed_1,SAC_Hard_64
340000,0.06,seed_1,SAC_Hard_64
360000,0.0,seed_1,SAC_Hard_64
380000,0.04,seed_1,SAC_Hard_64
400000,0.02,seed_1,SAC_Hard_64
420000,0.0,seed_1,SAC_Hard_64
440000,0.02,seed_1,SAC_Hard_64
460000,0.04,seed_1,SAC_Hard_64
480000,0.08,seed_1,SAC_Hard_64
500000,0.06,seed_1,SAC_Hard_64
520000,0.06,seed_1,SAC_Hard_64
540000,0.08,seed_1,SAC_Hard_64
560000,0.06,seed_1,SAC_Hard_64
580000,0.04,seed_1,SAC_Hard_64
600000,0.04,seed_1,SAC_Hard_64
620000,0.04,seed_1,SAC_Hard_64
640000,0.04,seed_1,SAC_Hard_64
660000,0.06,seed_1,SAC_Hard_64
680000,0.06,seed_1,SAC_Hard_64
700000,0.06,seed_1,SAC_Hard_64
720000,0.06,seed_1,SAC_Hard_64
740000,0.08,seed_1,SAC_Hard_64
760000,0.06,seed_1,SAC_Hard_64
780000,0.06,seed_1,SAC_Hard_64
800000,0.1,seed_1,SAC_Hard_64
820000,0.06,seed_1,SAC_Hard_64
840000,0.08,seed_1,SAC_Hard_64
860000,0.08,seed_1,SAC_Hard_64
880000,0.08,seed_1,SAC_Hard_64
900000,0.12,seed_1,SAC_Hard_64
920000,0.1,seed_1,SAC_Hard_64
940000,0.1,seed_1,SAC_Hard_64
960000,0.06,seed_1,SAC_Hard_64
980000,0.1,seed_1,SAC_Hard_64
1000000,0.16,seed_1,SAC_Hard_64
1020000,0.12,seed_1,SAC_Hard_64
1040000,0.12,seed_1,SAC_Hard_64
1060000,0.14,seed_1,SAC_Hard_64
1080000,0.14,seed_1,SAC_Hard_64
1100000,0.2,seed_1,SAC_Hard_64
1120000,0.22,seed_1,SAC_Hard_64
1140000,0.3,seed_1,SAC_Hard_64
1160000,0.3,seed_1,SAC_Hard_64
1180000,0.32,seed_1,SAC_Hard_64
1200000,0.28,seed_1,SAC_Hard_64
1220000,0.36,seed_1,SAC_Hard_64
1240000,0.36,seed_1,SAC_Hard_64
1260000,0.38,seed_1,SAC_Hard_64
1280000,0.34,seed_1,SAC_Hard_64
1300000,0.36,seed_1,SAC_Hard_64
1320000,0.34,seed_1,SAC_Hard_64
1340000,0.32,seed_1,SAC_Hard_64
1360000,0.32,seed_1,SAC_Hard_64
1380000,0.4,seed_1,SAC_Hard_64
1400000,0.34,seed_1,SAC_Hard_64
1420000,0.42,seed_1,SAC_Hard_64
1440000,0.38,seed_1,SAC_Hard_64
1460000,0.32,seed_1,SAC_Hard_64
1480000,0.4,seed_1,SAC_Hard_64
1500000,0.36,seed_1,SAC_Hard_64
1520000,0.36,seed_1,SAC_Hard_64
1540000,0.48,seed_1,SAC_Hard_64
1560000,0.4,seed_1,SAC_Hard_64
1580000,0.44,seed_1,SAC_Hard_64
1600000,0.48,seed_1,SAC_Hard_64
1620000,0.46,seed_1,SAC_Hard_64
1640000,0.44,seed_1,SAC_Hard_64
1660000,0.52,seed_1,SAC_Hard_64
1680000,0.5,seed_1,SAC_Hard_64
1700000,0.56,seed_1,SAC_Hard_64
1720000,0.52,seed_1,SAC_Hard_64
1740000,0.58,seed_1,SAC_Hard_64
1760000,0.58,seed_1,SAC_Hard_64
1780000,0.54,seed_1,SAC_Hard_64
1800000,0.56,seed_1,SAC_Hard_64
1820000,0.58,seed_1,SAC_Hard_64
1840000,0.6,seed_1,SAC_Hard_64
1860000,0.62,seed_1,SAC_Hard_64
1880000,0.58,seed_1,SAC_Hard_64
1900000,0.54,seed_1,SAC_Hard_64
1920000,0.56,seed_1,SAC_Hard_64
1940000,0.58,seed_1,SAC_Hard_64
1960000,0.58,seed_1,SAC_Hard_64
1980000,0.58,seed_1,SAC_Hard_64
2000000,0.62,seed_1,SAC_Hard_64
20000,0.08,seed_2,SAC_Hard_64
40000,0.06,seed_2,SAC_Hard_64
60000,0.06,seed_2,SAC_Hard_64
80000,0.12,seed_2,SAC_Hard_64
100000,0.04,seed_2,SAC_Hard_64
120000,0.02,seed_2,SAC_Hard_64
140000,0.0,seed_2,SAC_Hard_64
160000,0.0,seed_2,SAC_Hard_64
180000,0.0,seed_2,SAC_Hard_64
200000,0.02,seed_2,SAC_Hard_64
220000,0.0,seed_2,SAC_Hard_64
240000,0.04,seed_2,SAC_Hard_64
